星期,開始時間,結束時間,課程名稱,師資名稱,師資國籍,教學語系,分類,級別,異動類型,異動老師,異動日期
一,09:00,10:00,壁繩瑜伽,JAI,印,EN,肌耐力/核心/快節奏,初,暫停,,9/28
一,09:00,10:00,瑜伽基礎,Nora,,,伸展,初,暫停,,9/28
一,10:00,11:15,流動,Una,,,肌耐力/核心/快節奏,高,暫停,,9/28
一,10:30,11:30,伸展瑜伽,JAI,印,EN,伸展,初,暫停,,9/28
一,11:00,12:00,頌缽療癒,Savina,,,放鬆,初,,,
一,12:15,13:15,瑜伽伸展,Jason,,,伸展,初,,,
一,12:30,13:30,瑜伽療法,Ashish,印,,伸展,初,,,
一,14:00,15:00,哈達瑜伽,Sasa,,,肌耐力/核心/快節奏,中,代課,Emily,9/21
一,15:15,16:15,瑜伽輪,Ashish,印,,瑜伽輪,初,,,
一,18:00,19:00,哈達瑜伽,Priya,,,肌耐力/核心/快節奏,初,暫停,,9/28
一,18:30,19:30,瑜伽伸展,Trix,,,伸展,初,暫停,,9/28
一,18:45,20:00,阿斯坦加瑜伽,JAI,印,EN,阿斯坦加,初,暫停,,9/28
一,19:15,20:15,流動,Dora,,,高難度,高,代課;暫停,Jen;,9/7;9/28
一,19:45,20:45,筋膜瑜伽,Trix,,,按摩,初,暫停,,9/28
一,20:15,21:15,瑜伽修復,Thomas,,,伸展,初,暫停,,9/28
一,20:30,21:30,和緩瑜伽,Dora,,,伸展,初,代課;暫停,Jen;,9/7;9/28
二,10:00,11:00,哈達瑜伽,Camilla,,,肌耐力/核心/快節奏,初,,,
二,10:30,11:30,瑜伽輪,Ashish,印,,瑜伽輪,初,,,
二,11:00,12:00,哈達瑜伽,Roushan,印,EN,肌耐力/核心/快節奏,初,,,
二,11:15,12:15,流動,Camilla,,,肌耐力/核心/快節奏,中,,,
二,12:15,13:15,瑜伽舒眠,Sasa,,,伸展,初,代課,Polly,9/22
二,12:30,13:30,瑜伽伸展,Ashish,印,,伸展,初,,,
二,13:30,14:45,阿斯坦加瑜伽,Simon,,,阿斯坦加,初,,,
二,14:30,15:30,墊上＿皮拉提斯,Sasa.L,,,肌耐力/核心/快節奏,初,,,
二,15:00,16:30,慢流輪,Jun,,,伸展,初,暫停,,9/29
二,16:30,17:30,熱和緩,Jason,,,熱課程,初,,,
二,18:30,19:30,熱流動,Dehna,,,熱課程,初,,,
二,18:45,19:45,瑜伽療法,Ashish,印,,伸展,初,,,
二,19:15,20:15,瑜伽伸展,Sasa,,,肌耐力/核心/快節奏,中,代課,Mina,9/22
二,19:45,20:45,溫基礎,Aileen,,,熱課程,初,,,
二,20:00,21:00,和緩瑜伽,Ashish,印,,伸展,初,,,
二,20:30,21:30,陰瑜伽,Sasa,,,陰瑜伽,初,代課,Mina,9/22
三,09:00,10:00,哈達瑜伽,JAI,印,EN,肌耐力/核心/快節奏,初,,,
三,10:00,11:00,瑜伽提斯,Camilla,,,肌耐力/核心/快節奏,初,,,
三,11:00,12:00,輕流動,Dehna,,,肌耐力/核心/快節奏,初,,,
三,11:15,12:15,瑜伽輪,Camilla,,,瑜伽輪,初,,,
三,12:15,13:15,瑜伽伸展,Emily,,,放鬆,初,,,
三,12:30,13:30,輔具瑜伽,丁丁,,,伸展,初,,,
三,14:00,15:00,火箭入門,丁丁,,,高難度,中,,,
三,14:30,15:30,瑜伽修復,Thomas,,,放鬆,初,,,
三,15:30,16:45,壁繩瑜伽,JAI,印,EN,付費課,初,,,
三,16:30,17:30,熱伸展,Ashish,印,,熱課程,初,,,
三,17:00,18:15,椅子瑜伽,JAI,印,EN,伸展,初,,,
三,18:00,19:00,哈達瑜伽,Ashish,印,,肌耐力/核心/快節奏,初,,,
三,18:30,19:30,輔具瑜伽,Melody,,,肌耐力/核心/快節奏,中,,,
三,18:45,19:45,流動,JAI,印,,肌耐力/核心/快節奏,中,,,
三,19:15,20:15,水晶缽放鬆,Mimi,,,放鬆,初,,,
三,19:45,20:45,陰瑜伽,Melody,,,陰瑜伽,初,,,
三,20:00,21:00,瑜伽伸展,Dora,,,肌耐力/核心/快節奏,初,,,
三,20:30,21:30,墊上＿皮拉提斯,柳川,,,肌耐力/核心/快節奏,初,,,
四,09:00,10:00,輔具瑜伽,Polly,,,伸展,初,,,
